category,total,crash,signaled,false (pos/neg),category, tag
========,=====,=====,========,===============,========
correct,254,1,59,59, 
 , , , ,10,need transducer: tr/sed/cut,can be improved with FST
 , , , ,1,need better support for command: docker,can be improved with current model
 , , , ,5,unsupported command: awk,out of scope
 , , , ,11,unsupported options/flags/operands - about find,out of scope
 , , , ,4,unsupported options/flags/operands - about find; violates our assumption about xargs cat usage,out of scope
 , , , ,3,violates our assumption about sort -n usage,
 , , , ,2,need transducer: rev; need transducer: tr/sed/cut,can be improved with FST
 , , , ,1,need better support for command: od; need transducer: tr/sed/cut,can be improved with FST
 , , , ,1,need better support for command: seq,can be improved with current model
 , , , ,2,need default format of /etc/group; need transducer: tr/sed/cut,can be improved with FST
 , , , ,9,ANN'D need assume annotation; need transducer: tr/sed/cut,can be improved with FST
 , , , ,1,ANN'D need assume annotation; violates our assumption about sort -n usage; need transducer: tr/sed/cut,can be improved with FST
 , , , ,4,need support for tr ' ' '\n',can be improved with FST
 , , , ,1,need transducer: tr/sed/cut; need support for tr -d '\n',can be improved with FST
 , , , ,1,need transducer: tr/sed/cut; need support for tr -d '\n'; need support for tr ' ' '\n',can be improved with FST
 , , , ,2,ANN'D need assume annotation,
 , , , ,1,need transducer: tr/sed/cut; need support for tr ' ' '\n',can be improved with FST
--------,-----,-----,--------,---------------,--------
buggy,292,2,229,61, 
 , , , ,3,semantic mistake - file not found,out of scope
 , , , ,1,semantic mistake - about date,out of scope
 , , , ,1,need better support for command: who,can be improved with current model
 , , , ,1,ANN'd dropped flags in wc; should be detectable with assert annotations,
 , , , ,1,ANN'd dropped grep; should be detectable with assert annotations; need transducer: tr/sed/cut,can be improved with FST
 , , , ,2,ANN'd dropped cut; should be detectable with assert annotations; need transducer: tr/sed/cut,can be improved with FST
 , , , ,6,ANN'd dropped tr; should be detectable with assert annotations,can be improved with FST
 , , , ,1,ANN'd dropped -c in tr; should be detectable with assert annotations,can be improved with FST
 , , , ,1,ANN'd swap tr; should be detectable with assert annotations,can be improved with FST
 , , , ,1,ANN'd dropped cut; should be detectable with assert annotations,
 , , , ,5,ANN'd with output annotations; we could perfectly model the contents here,
 , , , ,2,needs whole-stream annotation for number of lines,can be improved with FST
 , , , ,1,ANN'd dropped -c in uniq; should be detectable with assert annotations,
 , , , ,1,ANN'd dropped uniq; should be detectable with assert annotations,
 , , , ,1,ANN'd dropped tr; should be detectable with assert annotations; need transducer: tr/sed/cut,can be improved with FST
 , , , ,1,ANN'd swap cut and tr; should be detectable with input annotations; composition mistake at (cut -c 1-1),can be improved with FST
 , , , ,2,ANN'd dropped -l in wc; should be detectable with assert annotations,
 , , , ,10,ANN'd with output annotations,
 , , , ,1,unsupported command: awk,out of scope
 , , , ,1,ANN'd with output annotations; could specify no newline?,
 , , , ,1,ANN'd with output annotations; or input annotations,
 , , , ,1,ANN'D need assume annotation; problematic annotation design,
 , , , ,1,need better support for command: xargs,can be improved with current model
 , , , ,7,need transducer: tr/sed/cut,can be improved with FST
 , , , ,5,regex parsing error in grep - about ^ and $,can be improved with current model
 , , , ,1,unsupported options/flags/operands - about find; need transducer: tr/sed/cut,out of scope
 , , , ,1,semantic mistake - meaningless uniq,out of scope
 , , , ,1,need better support for command: sort,can be improved with current model
========,=====,=====,========,===============,========
total,517,3, ,120, 
